Cmax,AUC,t_half,Vmax,Km,Pfat
2.3059424221441536e+37,1.9920379478146506e+37,77.16320859385344,8.085425038747523,0.3424684375334767,17.430959200775188
2.881054515973619e+37,2.488860897144916e+37,77.49941260550239,6.21735335202517,0.33673976552280177,29.900747727224093
2.764632411754112e+37,2.388287158901251e+37,84.38198203720937,8.650929549058375,0.5186899736576618,34.5124438572854
1.7794509626529687e+37,1.5372169789842345e+37,68.07070414528279,13.087229242803673,0.2919709316268655,21.650859664333915
1.7885309897872815e+37,1.5450609556789862e+37,69.07324171103821,9.613881108190688,0.509699363800955,23.900625460885955
2.928437919875409e+37,2.5297940695270907e+37,76.20129884501185,8.228340209789684,0.38069873062383824,33.15064922210931
2.444995406040764e+37,2.112161858116515e+37,57.39945182301052,12.367219951661522,0.5300186164136528,30.25021075774767
2.625991780343232e+37,2.2685194681613167e+37,60.55271000589739,10.899559140098214,0.3756570201289713,25.54873401286587
1.6366939213206945e+37,1.4138932390153894e+37,69.16137609950066,9.621727665509333,0.31235671032092627,22.401565466582174
1.7912787292953014e+37,1.5474346495397356e+37,73.06223202462459,10.282450049936141,0.6861080061074893,21.02349990644317
2.5264303551539705e+37,2.182511190066019e+37,81.25645322983725,8.237664753396196,0.7793309705624272,19.690739685792373
2.045886247805839e+37,1.7673828294254716e+37,79.63968749601537,13.175135053000934,0.7081985012807511,23.780514383270926
2.76273232236871e+37,2.3866457258265945e+37,81.59791412378505,9.605083317323691,0.6123537673387172,29.299591354449422
2.1359716305700355e+37,1.8452050245012813e+37,74.27387451707061,5.918159474758463,0.6472577870313068,31.31874663347946
2.1406669035389993e+37,1.84926113702157e+37,61.87486107518135,7.176944191867351,0.47384385180476973,23.5063116991577
1.8349699644287035e+37,1.585178262535806e+37,57.83681783483547,12.635158088020294,0.693801075679763,33.04970323640918
2.093514048459359e+37,1.808527129197078e+37,59.15789362403505,6.034865908486545,0.40876506663372925,30.321170093011183
2.126834194482337e+37,1.8373114538476387e+37,63.33209385941052,16.23646989420473,0.4967101511959794,26.44079431312113
2.5764081362646737e+37,2.225685570988992e+37,61.12365596504299,8.674895579999133,0.4981967257778561,27.88622040334076
2.154075522504298e+37,1.8608444608505433e+37,58.223689240318194,10.019285381855896,0.48907573687688843,23.216741130392077
1.8426996979304776e+37,1.591855759039691e+37,57.776975998882925,9.252985666438834,0.7456601184195351,27.967964060676685
1.781744555822227e+37,1.5391983487643884e+37,84.40649135912753,9.151712292621134,0.5951697741491482,23.385400722693333
2.4578876981790003e+37,2.1232991419129586e+37,80.71684783682824,9.683219604829254,0.5592168539577049,18.25977575556995
2.372418685204264e+37,2.0494648971491086e+37,61.51177873771742,7.131737207189421,0.7710373749227966,39.06144246002297
2.6786726815848e+37,2.3140289975365986e+37,80.91509438085866,5.825633638912749,0.43656603575033537,21.35570836122232
1.7005033356919202e+37,1.4690163737626648e+37,66.88878366615886,8.300625002874778,0.30483881022104703,29.033718924729985
2.4266708100560782e+37,2.0963317618273266e+37,61.084927677606025,18.630683906915017,0.39732792628663527,15.071692571788223
3.000833374443766e+37,2.5923344397308537e+37,82.24761136922469,9.177766059959273,0.6584232799929911,36.98621648152733
2.4824964484379807e+37,2.144557940004977e+37,62.858637925901455,8.697120170344053,0.48693030884084026,42.4252835336421
1.9367656191623942e+37,1.673116627867407e+37,84.63807355796045,6.370602152017124,0.5327450682586417,27.451325627252626
2.361277999022412e+37,2.0398407758242105e+37,81.95219188761645,10.968200854274242,0.4533642818718516,26.382507955752608
2.0034596757056966e+37,1.7307317227857003e+37,82.15554462703744,9.021651499128556,0.5494309998007151,24.85411325365797
2.291859723332903e+37,1.9798723056154967e+37,81.7688215413538,5.874819596217721,0.6854588538220691,20.857828902458007
2.6785287575533517e+37,2.313904665667124e+37,68.14784922174553,8.219054609132746,0.2931515013766393,46.82538786572636
2.422242063988672e+37,2.0925058943022801e+37,81.82677758663452,9.836666593112218,0.5369992066516831,27.74623930710604
2.417033417780601e+37,2.0880062932699307e+37,84.41015539409649,12.135678724682268,0.4759312891779324,24.254960863141502
