time,C_fat,C_rp,C_pp,C_liver,C_venous,C_arterial,A_metabolized
0.0,0.0,0.0,0.0,0.0,0.0,72.72727272727273,0.0
0.03601800900450225,0.30678202440969,8.876297924089307,0.556284205553449,8.72815720926001,0.37505019447907795,63.76950333872271,0.24535767242502013
0.0720360180090045,0.5758951910960743,16.201613586150433,1.0413369044528222,15.699615042691944,1.3860856694636952,56.00461356359971,0.5656499982762064
0.10805402701350675,0.8125426140877445,22.20719378338453,1.4649684745793525,21.224184335711453,2.884834533168251,49.353875368458084,0.8987400110812837
0.144072036018009,1.0215550859480347,27.101474194689878,1.8362624112044053,25.549782084655426,4.748767342224898,43.73173524692939,1.237235275031181
0.18009004502251125,1.2073692691046203,31.070637447712965,2.163539627251761,28.892441164651547,6.877640205890767,39.04958911939835,1.5786314235733958
0.2161080540270135,1.3740209020125589,34.27957617272049,2.4543501654702533,31.440294379124563,9.190536522563558,35.21870497609143,1.921772789468612
0.25212606303151575,1.5251495264922532,36.87313894974013,2.715485843378552,33.35616334857868,11.623185633405596,32.152439633023214,2.2660324840349184
0.288144072036018,1.6640118321997466,38.977560456638706,2.9530084550762092,34.779920309941225,14.1255385688069,29.767869124359617,2.611036038888719
0.32416208104052024,1.793501215272732,40.701996754032635,3.172289090938165,35.830772564923784,16.65959311736961,27.98693613429725,2.9565466199385013
0.3601800900450225,1.9161715824971464,42.140103316709805,3.3780549470900936,36.609472335081264,19.197459073609615,26.737204111147822,3.302410262770179
0.39619809904952474,2.0342638075566364,43.37160751648651,3.5744406960197064,37.20042962555327,21.719651744321524,25.95229536347433,3.6485269432738825
0.432216108054027,2.149733569853016,44.463839151131914,3.765042092518086,37.67370568199521,24.213599453879944,25.57207924201549,3.9948339700913293
0.46823411705852924,2.2642795797293287,45.473192400500075,3.9529699969573246,38.08687015147166,26.672349217839585,25.542666548924288,4.341295644288575
0.5042521260630315,2.3793714273807938,46.44650073607684,4.140903430844164,38.486711341682096,29.09345386007951,25.816257349523525,4.687896287903139
0.5402701350675337,2.496276487330923,47.422312896031436,4.331140639718502,38.91079459710919,31.478023564975185,26.35088144880525,5.034635157263891
0.576288144072036,2.616085467128338,48.432063177612044,4.5256474280100925,39.38886832355379,33.82992502026214,27.11006405630011,5.381522446262991
0.6123061530765382,2.739736332448638,49.501133839599234,4.726102294945082,39.94412116613858,36.155111849591336,28.062442634953268,5.7285760025907875
0.6483241620810405,2.8680364317801663,50.64981009428877,4.933938067571334,40.59429609198707,38.461070841084805,29.181356370925993,6.075818540818338
0.6843421710855427,3.001682738701145,51.89413091778675,5.150379900800634,41.352669389238415,40.75636944398015,30.44442483942983,6.423275281830066
0.720360180090045,3.141280195236348,53.24664065447994,5.376479633847729,42.22890392223709,43.05029103817605,31.83312875255849,6.770971994996228
0.7563781890945472,3.287358187340513,54.7170474514113,5.613146578468414,43.2297865844861,45.35254574028362,33.33240253916697,7.118933437072665
0.7923961980990495,3.4403852241689576,56.31279547194376,5.861174887887564,44.3598604289875,47.6730455648405,34.9302458460914,7.467182179004705
0.8284142071035517,3.6007819177041127,58.03955815553365,6.12126769949726,45.621961860048195,50.02173399730546,36.61735888740645,7.815737799260541
